AnahtarKelime,CaloriesPer100g,ProteinPer100g,CarbsPer100g,FatPer100g
su böreği,192,6.0,20.0,9.0
toz şeker,387,0,100,0
kuru üzüm,299,3.1,79.2,0.5
kabak çekirdeği,559,30.2,10.7,49.0
şeker,387,0,100,0
antep fıstığı,562,20.0,28.0,45.0
fıstık,567,25.8,16.1,49.2
cips,536,6.4,52.9,34.6
domates salçası,82,4.3,18.9,0.5
kaya tuzu,0,0,0,0
nar ekşisi,135,0.5,34.0,0.2
tam tahıllı bar,450,7.0,66.0,15.0
yeşil mercimek,116,9.0,20.0,0.4
humus,166,7.9,14.3,9.6
kaju,553,18.2,30.2,43.8
barbekü sos,120,0.5,29.0,0.2
çorba,40,1.5,7.0,1.0
güllaç,364,4.0,85.0,0.5
şurup,286,0.1,74.0,0.1
leblebi,378,20.0,62.0,6.0
karışık kuruyemiş,607,17.0,23.0,50.0
badem,579,21.2,22.0,49.9
elma sirkesi,21,0,0.9,0
mısır nişastası,381,0.3,91.3,0.1
dondurma,207,3.5,24.0,11.0
vanilya,288,3.0,13.0,12.0
küp şeker,387,0,100,0
meyankökü aroması,375,1.0,94.0,0.2
muffin,377,6.0,56.0,15.0
mayonez,680,1.0,1.0,75.0
hardal,66,3.0,5.0,4.0
ketçap,112,1.2,25.0,0.3
kurabiye,502,6.0,64.0,24.0
çubuk kraker,450,9.0,70.0,16.0
spagetti,158,5.8,30.9,0.9
fındık,628,15.0,17.0,61.0
