Name,Market,Price,CategoryName,ImageUrl,CaloriesPer100g,ProteinPer100g,CarbsPer100g,FatPer100g
Kocaşaban 1 kg Pastırma,idefix,"1.100,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/kocasaban-1-kg-pastirma-_1902380.jpg,200,30,3,5
Sea Food Yaki Nori 50'li 120 gr Yaprak Yosun,Amazon,"799,00 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/sea-food-yaki-nori-50li-120-gr-yaprak-yosun-_286983.jpg,30,2,7,0.30
Cumhuriyet Kangal Dana Sucuk Vakumlu 220 gr,Getir Büyük,"294,50 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/cumhuriyet-kangal-dana-sucuk-vakumlu-220-gr-_691132.jpg,432,16,2,40
Kocaman 1000 gr Kabuklu Midye,Carrefour,"204,99 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/kocaman-1000-gr-kabuklu-midye-_1443453.jpg,,,,
Marines 1 kg Torik Lakerda,Carrefour,"729,99 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/marines-1-kg-torik-lakerda-_1980133.jpg,,,,
Greenvillage 1700-1900 gr Organik Piliç,Şok,"410,20 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/greenvillage-1700-1900-gr-organik-pilic-_1237507.jpg,165,31,0,3.6
Pınar 415 gr Piliç Şnitzel,PınarOnline,"208,90 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/pinar-415-gr-pilic-snitzel-_286858.jpg,165,31,0,3.6
Banvit 1 kg Piliç Baget,a101,"79,50 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/banvit-1-kg-pilic-baget-_286875.jpg,165,31,0,3.6
"Banvit 1,5 kg But Kalçalı Piliç",Carrefoursa,"107,70 TL",et-tavuk-ve-balik,https://cdn.cimri.io/market/88x88/banvit-15-kg-but-kalcali-pilic-_981188.jpg,165,31,0,3.6
Şahin 300 gr Fermente Sucuk,PttAVM,"377,39 TL",et-tavuk-ve-balik,https://cdn.cimri.io/urun-gorseli-hazirlaniyor.jpg,432,16,2,40
